name,age,salary,gender,department,position,joining_date,performance_score,email,phone_number
 jack ,25,70000,Male,IT,Director,,B,name@company.org,(555) 555-5555
 charlie ,25,65000,Other,IT,Director,,A,name@company.org,Invalid
 charlie ,40, NAN ,Female,HR,Clerk,,A,email@example.com,(098) 765-4321
 eve ,50,50000,Male,HR,Clerk,,F,name@company.org,Invalid
 frank ,thirty,65000,Male,Marketing,Clerk,,D,email@example.com,(555) 555-5555
 alice ,50,SIXTY THOUSAND,Male,Sales,Director,,B,email@example.com,(123) 456-7890
 bob ,thirty, NAN ,Other,Marketing,Clerk,,F,name@company.org,(555) 555-5555
 alice ,thirty,70000,Female,IT,Clerk,,A,email@example.com,(555) 555-5555
 jack ,thirty,50000,Female,Sales,Assistant,,B,email@example.com,(123) 456-7890
 jack ,25, NAN ,Other,Marketing,Analyst,,C,user@domain.com,(098) 765-4321
 ivy ,35,65000,Male,IT,Analyst,,B,user@domain.com,(555) 555-5555
 ivy ,40,65000,Other,Sales,Clerk,,D,name@company.org,(123) 456-7890
 alice ,25,50000,Female,Sales,Manager,,A,user@domain.com,(555) 555-5555
 david ,thirty,65000,Male,Sales,Clerk,,D,email@example.com,(555) 555-5555
 frank ,50,55000,Male,IT,Assistant,,C,email@example.com,(123) 456-7890
 charlie ,50, NAN ,Other,Finance,Assistant,,A,user@domain.com,Invalid
 grace ,thirty, NAN ,Male,HR,Clerk,,D,email@example.com,(555) 555-5555
 charlie ,50,70000,Female,Finance,Manager,,B,user@domain.com,Invalid
 ivy ,35,SIXTY THOUSAND,Male,Sales,Director,,D,user@domain.com,(123) 456-7890
 grace ,40,70000,Male,Sales,Clerk,,F,email@example.com,Invalid
 jack ,thirty,65000,Other,Finance,Manager,,B,email@example.com,(555) 555-5555
 david ,40,65000,Female,Finance,Manager,,B,user@domain.com,(555) 555-5555
 jack ,40, NAN ,Other,Finance,Analyst,,A,name@company.org,(098) 765-4321
 charlie ,35,55000,Male,Marketing,Manager,,B,name@company.org,(098) 765-4321
 bob ,thirty, NAN ,Male,Finance,Clerk,,A,name@company.org,(123) 456-7890
 hannah ,50,50000,Male,Finance,Assistant,,B,user@domain.com,(555) 555-5555
 jack ,35, NAN ,Male,Sales,Director,,D,user@domain.com,(555) 555-5555
 frank ,35,65000,Female,IT,Clerk,,F,email@example.com,Invalid
 david ,35,65000,Female,Finance,Analyst,,C,user@domain.com,(123) 456-7890
 hannah ,50,50000,Other,Sales,Assistant,,F,name@company.org,Invalid
 frank ,25,65000,Male,Sales,Analyst,,D,user@domain.com,Invalid
 eve ,40,55000,Other,IT,Analyst,,C,email@example.com,(123) 456-7890
 frank ,40,SIXTY THOUSAND,Male,Marketing,Analyst,,F,user@domain.com,(555) 555-5555
 hannah ,35,65000,Male,Sales,Director,,F,email@example.com,(123) 456-7890
 eve ,25,50000,Female,Marketing,Assistant,,D,email@example.com,(098) 765-4321
 frank ,thirty,SIXTY THOUSAND,Female,Finance,Assistant,,B,user@domain.com,(123) 456-7890
 hannah ,thirty,65000,Female,IT,Manager,,B,email@example.com,(555) 555-5555
 frank ,35,55000,Female,Finance,Director,,D,name@company.org,(123) 456-7890
 charlie ,35,50000,Female,IT,Clerk,,F,name@company.org,(123) 456-7890
 bob ,50, NAN ,Female,Sales,Clerk,,A,name@company.org,(555) 555-5555
 charlie ,35,65000,Male,HR,Assistant,,F,email@example.com,Invalid
 eve ,40,70000,Other,Finance,Clerk,,D,user@domain.com,(123) 456-7890
 david ,35, NAN ,Female,Finance,Analyst,,C,name@company.org,(123) 456-7890
 charlie ,thirty,50000,Male,HR,Assistant,,B,name@company.org,Invalid
 alice ,50,55000,Male,HR,Director,,F,user@domain.com,(123) 456-7890
 david ,thirty,70000,Female,Marketing,Clerk,,B,name@company.org,(123) 456-7890
 jack ,50,SIXTY THOUSAND,Male,Sales,Assistant,,B,user@domain.com,(098) 765-4321
 frank ,thirty,55000,Other,IT,Director,,A,user@domain.com,(098) 765-4321
 eve ,40,70000,Other,Marketing,Manager,,A,user@domain.com,(123) 456-7890
 david ,40,50000,Male,IT,Analyst,,B,name@company.org,Invalid
 hannah ,50,65000,Female,Marketing,Assistant,,C,user@domain.com,(098) 765-4321
 grace ,50,50000,Female,IT,Analyst,,B,name@company.org,(555) 555-5555
 jack ,25,50000,Male,Sales,Analyst,,A,email@example.com,Invalid
 hannah ,thirty,70000,Male,IT,Director,,B,email@example.com,(123) 456-7890
 david ,25,55000,Other,HR,Analyst,,D,email@example.com,(123) 456-7890
 grace ,40,65000,Female,Sales,Director,,B,email@example.com,(098) 765-4321
 charlie ,25,55000,Other,IT,Manager,,F,email@example.com,Invalid
 bob ,40, NAN ,Other,Marketing,Analyst,,D,user@domain.com,(123) 456-7890
 hannah ,thirty,50000,Other,Sales,Assistant,,A,email@example.com,Invalid
 charlie ,50, NAN ,Male,Sales,Director,,C,email@example.com,(098) 765-4321
 charlie ,thirty, NAN ,Other,HR,Assistant,,B,name@company.org,Invalid
 hannah ,thirty,50000,Male,Finance,Manager,,C,name@company.org,(123) 456-7890
 ivy ,25,70000,Other,IT,Analyst,,C,email@example.com,(098) 765-4321
 eve ,25,55000,Male,HR,Assistant,,A,user@domain.com,(098) 765-4321
 eve ,35,55000,Female,Marketing,Analyst,,B,email@example.com,(098) 765-4321
 ivy ,25, NAN ,Male,Sales,Manager,,A,user@domain.com,(098) 765-4321
 frank ,25,70000,Male,IT,Analyst,,B,user@domain.com,(555) 555-5555
 alice ,50,65000,Female,IT,Analyst,,A,user@domain.com,(098) 765-4321
 alice ,35,65000,Female,Marketing,Analyst,,F,user@domain.com,(098) 765-4321
 eve ,50,65000,Female,Sales,Manager,,C,name@company.org,(555) 555-5555
 hannah ,thirty,65000,Other,HR,Director,,B,email@example.com,(098) 765-4321
 charlie ,40,SIXTY THOUSAND,Other,Finance,Assistant,,C,user@domain.com,(098) 765-4321
 charlie ,thirty,50000,Male,Marketing,Clerk,,B,user@domain.com,Invalid
 frank ,25,65000,Other,Marketing,Manager,,C,email@example.com,Invalid
 grace ,50,50000,Other,Marketing,Director,,A,name@company.org,(123) 456-7890
 charlie ,40,55000,Other,Sales,Director,,C,email@example.com,(555) 555-5555
 jack ,35, NAN ,Male,Marketing,Analyst,,B,email@example.com,Invalid
 alice ,25,65000,Female,IT,Clerk,,B,email@example.com,(098) 765-4321
 david ,50,65000,Other,IT,Analyst,,B,name@company.org,(123) 456-7890
 ivy ,thirty, NAN ,Male,Marketing,Clerk,,A,user@domain.com,(123) 456-7890
 david ,35,SIXTY THOUSAND,Female,Marketing,Director,,A,email@example.com,(123) 456-7890
 frank ,50,SIXTY THOUSAND,Male,HR,Clerk,,F,name@company.org,(098) 765-4321
 jack ,40,65000,Male,IT,Clerk,,C,email@example.com,(123) 456-7890
 charlie ,thirty,65000,Female,HR,Director,,D,user@domain.com,(555) 555-5555
 jack ,40,55000,Female,Finance,Analyst,,A,user@domain.com,(098) 765-4321
 david ,40,70000,Female,IT,Manager,,C,user@domain.com,Invalid
 jack ,50,SIXTY THOUSAND,Female,Sales,Director,,F,user@domain.com,(123) 456-7890
 hannah ,thirty,SIXTY THOUSAND,Male,HR,Assistant,,C,email@example.com,Invalid
 frank ,thirty,SIXTY THOUSAND,Female,Marketing,Analyst,,A,email@example.com,(555) 555-5555
 ivy ,thirty,SIXTY THOUSAND,Male,Finance,Manager,,C,user@domain.com,(123) 456-7890
